"","x","y"
"1",1,5.25386296565063
"2",2,6.30615577136267
"3",3,4.56994208059135
"4",4,4.86904174319144
"5",5,7.05233372788476
"6",6,5.72916513981385
"7",7,7.94981317892372
"8",8,3.55462935404067
"9",9,4.27672901194304
"10",10,2.30985135224546
"11",11,5.65012900227349
"12",12,2.81214867510789
"13",13,1.03336669330169
"14",14,4.51542523575309
"15",15,4.67866508872321
"16",16,4.65681111512342
"17",17,6.94450910194548
"18",18,5.92622603959188
"19",19,4.24229236760603
"20",20,6.03138289915085
"21",21,3.56919873558645
"22",22,4.89454885475649
"23",23,4.27141977592877
"24",24,7.88804055093296
"25",25,5.35817534422072
"26",26,6.72349411107396
"27",27,6.50878078175144
"28",28,3.49491128840594
"29",29,3.86585207363717
"30",30,6.94356146396907
"31",31,7.94430695477455
"32",32,5.28577306657805
"33",33,8.0501784425158
"34",34,4.46635632902545
"35",35,4.62107114753052
"36",36,3.92868675483802
"37",37,6.8351418589957
"38",38,5.73419980033503
"39",39,4.15173308725801
"40",40,5.23036704409221
"41",41,5.49197046489072
"42",42,4.46545121379932
"43",43,3.72733003156611
"44",44,10.9227434192567
"45",45,7.28910485044669
"46",46,3.90809378762448
"47",47,6.27016996605261
"48",48,2.8602493783176
"49",49,2.69645270178489
"50",50,4.8505136059574
"51",51,10.8463584015266
"52",52,5.02590535297978
"53",53,6.53636423702327
"54",54,8.69989460919499
"55",55,2.68421834759106
"56",56,4.05266344379077
"57",57,6.35147929419937
"58",58,6.2026893534195
"59",59,2.65035157574094
"60",60,8.28532809922407
"61",61,6.33218711356112
"62",62,5.11777992743951
"63",63,4.90578738995724
"64",64,5.16734094231617
"65",65,4.25041274542726
"66",66,3.60491034464772
"67",67,6.80623687797985
"68",68,4.23206105826747
"69",69,1.85097164893526
"70",70,6.06210558482672
"71",71,4.99682829513658
"72",72,3.28329433590734
"73",73,3.65515552358143
"74",74,4.97865044436522
"75",75,2.80231853156455
"76",76,3.36074735712037
"77",77,5.23589188481392
"78",78,10.1452299539074
"79",79,9.32521039166927
"80",80,0.875595946036458
"81",81,4.96490126004191
"82",82,7.01979669316992
"83",83,1.11427000880027
"84",84,6.26820297152001
"85",85,5.78735446928792
"86",86,3.93944344331972
"87",87,5.6220132238743
"88",88,5.61144856435275
"89",89,4.61400970453187
"90",90,5.70690242406216
"91",91,7.84157418294911
"92",92,3.26147122732779
"93",93,5.61718755488528
"94",94,5.93429582352227
"95",95,2.7835390164152
"96",96,102.174135735216
"97",97,93.7101051468661
"98",98,79.0771253907343
"99",99,78.8239763933669
"100",100,70.416632933637
"101",101,66.4012393535461
"102",102,57.4665092563718
"103",103,55.5609450935644
"104",104,52.0955497531163
"105",105,49.3223085550758
"106",106,45.6197608084124
"107",107,42.4558138790776
"108",108,34.7209192193927
"109",109,39.0245073768212
"110",110,34.3197982108556
"111",111,31.2674949732459
"112",112,37.5378733512477
"113",113,29.982054215706
"114",114,27.3278021794351
"115",115,34.9109973630848
"116",116,27.5646612293461
"117",117,28.7314182993345
"118",118,27.6072477422338
"119",119,28.6166814249623
"120",120,27.7464087164498
"121",121,28.1001994319229
"122",122,25.8625261896833
"123",123,24.8314803373112
"124",124,27.3623391899908
"125",125,27.1883811531263
"126",126,25.0245883876623
"127",127,25.8609963186443
"128",128,21.4315534807161
"129",129,22.6147140431956
"130",130,28.4161205671809
"131",131,27.7721828403897
"132",132,23.7693500701645
"133",133,25.1256098224358
"134",134,22.6296672760879
"135",135,21.6336612197868
"136",136,21.78813537765
"137",137,22.4900310717416
"138",138,25.3437287005607
"139",139,23.67184516147
