"x","y"
1,50.1615203828445
2,51.9967509693525
3,50.9725423291416
4,47.4298383464216
5,43.7338823460702
6,47.914598564017
7,50.3283846144491
8,52.3533913855551
9,52.9488430422266
10,50.4059974157298
11,45.9694101694354
12,50.5311912126347
13,47.7865424850032
14,46.4884353733708
15,56.619128084822
16,50.3665697412274
17,50.0461241206397
18,48.6904100774671
19,51.2057682012161
20,49.7883528104746
21,54.810736932751
22,49.5655586101232
23,52.216242046138
24,46.644483736494
25,47.7015336135671
26,50.7350854152068
27,49.6599513396483
28,47.6263555957527
29,49.0786943376507
30,52.034631955967
31,48.3493777690523
32,49.4496760576145
33,47.6035912090789
34,51.0553335446803
35,50.9282400215072
36,48.8854567139687
37,49.77592410983
38,50.294290840786
39,48.8734506454534
40,47.7155399233139
41,51.0010649072862
42,51.2152541423852
43,50.9887633343997
44,47.7266406794257
45,49.2396605737977
46,50.5614223682292
47,48.6123431910324
48,48.6888981495398
49,51.2909726332225
50,52.3324330286917
51,53.9377889620447
52,48.8092137392193
53,53.0592616533282
54,51.4378805591658
55,50.3245797929729
56,51.6945224874035
57,49.0811486218607
58,51.0149828349047
59,48.2209166938251
60,48.8562573219242
61,48.0471896533633
62,51.1002347477729
63,49.5152246561425
64,49.5234841674272
65,53.5577554969725
66,48.3050550037407
67,49.6320229975559
68,52.2734455284539
69,46.4710312236113
70,49.9680920410207
71,50.5975362499196
72,52.9041816872032
73,48.7876322083308
74,53.6513609577016
75,50.1426769591846
76,49.2504591357576
77,54.576075431882
78,51.0435925390216
79,48.1673810867419
80,51.3946682854913
81,52.0867124412554
82,49.5278136831976
83,45.6371631254462
84,52.0731427524446
85,53.4391726167345
86,48.6509010544831
87,48.5321716888192
88,52.2356429401822
89,49.0393901589181
90,49.8172505469855
91,51.3445334035456
92,47.4092703912783
93,49.2606347197159
94,51.8837689134664
95,50.8418601496135
96,49.2776149704532
97,50.1199924470791
98,49.8449222707591
99,48.3850804157925
100,50.1195128529181
101,45.8360298303061
102,49.8562898246104
103,53.1456868567396
104,46.8599381619525
105,50.8186302383274
106,46.6947283934543
107,49.5659287849515
108,50.4360686271133
109,51.90724112
110,49.7464060110428
111,52.3027618882383
112,51.0744431386182
113,50.0184592691845
114,46.4916266930627
115,54.5110175298992
116,52.0705081956169
117,52.1241986445071
118,47.738694711847
119,50.4172689754794
120,46.4523867413536
121,48.7854425856309
122,50.3112020787018
123,45.2096237992371
124,50.63716968654
125,49.4779667889081
126,46.4580116033935
127,51.1049592615164
128,47.8553361967712
129,50.6155954492274
130,51.470573941391
131,53.0073092859084
132,50.7925082056195
133,50.2101877198841
134,49.1350970878676
135,49.6395622588338
136,47.7516353584851
137,51.1232155651525
138,50.6349688007371
139,50.2669326169266
140,50.1059815884296
141,49.2651941213102
142,50.0481430813161
143,48.8148937801256
144,48.1501805406397
145,50.0269513538368
146,48.3429283484177
147,50.7456792814452
148,48.4742097324424
149,50.899226298432
150,50.0060521871432
151,51.7234660449884
152,46.8422593941442
153,54.7614960484633
154,49.8006780465339
155,48.9740980393698
156,54.2685338673991
157,52.8302847615806
158,50.883663071385
159,48.3065434701806
160,48.953676494381
161,47.4670841444381
162,51.5253544997433
163,46.6760235940684
164,49.3169644614541
165,49.5016872526955
166,50.9988582270196
167,50.8149960026485
168,49.8651029855993
169,46.9156056069808
170,49.7197496345785
171,50.249963125796
172,48.962334045506
173,49.2520365882299
174,54.0979594157735
175,51.6195904135477
176,49.159541531752
177,46.4927909488148
178,47.8272642206469
179,45.1209501895054
180,47.2958160919266
181,50.1149717758352
182,49.7765025829576
183,47.5299020944184
184,49.9767289531195
185,48.9568103979687
186,47.6143087274143
187,48.5009627891943
188,47.4030653555365
189,45.0627996707366
190,47.0397736086691
191,51.730292037263
192,51.1384667178971
193,48.3673681957795
194,50.2868896736064
195,49.8338066176968
196,48.5702000289793
197,46.6330931931923
198,48.9369862493838
199,48.9496839997629
200,47.860900550451
201,53.1907100597115
202,51.881981869768
203,48.8486072524177
204,43.9612069657953
205,48.3000436286809
206,49.8938035645607
207,52.1201747380178
208,50.9269570336344
209,53.3127556605076
210,52.0756151852994
211,51.9000321467688
212,48.9604833408386
213,47.7393403302422
214,50.1088399461416
215,50.3154193981889
216,52.6185207057114
217,49.0546569079538
218,50.4305998806295
219,46.8592023345586
220,49.4967605688775
221,49.9379932366731
222,50.5284908622252
223,50.3942915813002
224,49.1786944800885
225,49.5933476563892
226,51.5292104016138
227,46.8258649328883
228,49.5851646921803
229,49.149928114434
230,53.2801748323034
231,48.5462830172718
232,49.8654238283162
233,48.5173254727138
234,45.1789572980119
235,48.0369910434654
236,49.556111940391
237,50.575203376747
238,50.9849224197353
239,48.405427819936
240,48.3108762007432
241,18.5834719824276
242,19.3107860268328
243,17.116977184319
244,16.1024935265387
245,18.1682390467122
246,18.9299466615905
247,17.1801065527808
248,16.4032586933869
249,19.1336503877925
250,16.278808671614
251,17.8021441832961
252,16.5645302431685
253,16.4020647469843
254,17.4656981661573
255,18.3308181832525
256,15.6790649850485
257,17.4120122540009
258,15.5745678190748
259,15.9030099941993
260,19.5737212402524
261,16.5463173383088
262,20.7733463051119
263,19.3702540871342
264,19.5653344229068
265,19.3383755885859
266,20.9481786918306
267,21.580942970604
268,18.7839143647628
269,16.8334622374801
270,15.2262443238695
271,17.9954059471871
272,16.7378769436371
273,15.0685071484257
274,19.9836834630263
275,19.8025627130344
276,17.7443519057586
277,17.0090623770329
278,20.6740626808873
279,17.8543713391006
280,19.2449869677553
281,16.7934457248005
282,17.9397914687724
283,17.8564520691229
284,16.9242849774159
285,18.0033450622921
286,17.6894688368215
287,16.9447314971805
288,17.5742390371847
289,15.0052673239722
290,14.4502407615005
